Nombre,Direccion,Telefono,Latitud,Longitud
Brigada de Investigación Criminal Providencia,"José Manuel Infante 820, Providencia",2- 2708 29 83,-33.4387654786079,-70.6214111570613
Brigada de Investigación Criminal Las Condes,"Vicente Huidobro 191, Las Condes",2- 2708 29 19 / 2- 2708 29 20,-33.3973054718143,-70.5528711559383
Brigada de Investigación Criminal La Florida,"José Miguel Carrera 475, La Florida",2- 2708 33 23 / 2- 2708 33 24,-33.5501654968596,-70.5814911564071
Brigada de Investigación Criminal Peñalolén,"Calle El Lago 5720, Peñalolén",2- 2708 34 73 / 2- 2708 34 74,-33.4715483991859,-70.5763111563223
Brigada de Investigación Criminal Lo Barnechea,"Av. El Rodeo 13326, Lo Barnechea",2- 2708 33 71 / 2 -2708 33 73,-33.3516654643372,-70.5129611552843
Brigada de Investigación Criminal Macul,"San Vicente de Paul 4343, Macul",2- 2708 24 27 / 2- 2708 24 31,-33.4947654877818,-70.5879711565134
Brigada de Investigación Criminal San Miguel,"San Nicolás N°1085, San Miguel",2- 2708 31 58,13.4812692208771,-88.1777721444704
Brigada de Investigación Criminal La Cisterna,"Fernández Albano 172, La Cisterna",2- 2708 30 56,-33.5237454925304,-70.6580311576611
Brigada de Investigación Criminal José María Caro,"Av. Obispo Javier Vásquez 6969, José María Caro, Lo Espejo",2- 2708 33 98,-33.5112549047762,-70.6876211581461
Brigada de Investigación Criminal Puente Alto,"Ernesto Alvear 165, Puente Alto",2- 2708 34 96 / 2- 2708 34 97,-33.6060355060124,-70.5793211563716
Brigada de Investigación Criminal San Ramón,"San Nicolás 1085, San Miguel",2- 2708 31 58,-33.4994254885465,-70.6529311575777
Brigada de Investigación Criminal La Pintana,"Av. Santa Rosa 13129, La Pintana",2- 2708 33 48,-33.5868855028749,-70.6290911571871
Brigada de Investigación Criminal Maipú,"Monumento Nº 2450, Maipú",2- 2708 31 13,-33.5094415490186,-70.7561791159269
Brigada de Investigación Criminal Pudahuel,"Federico Errazuriz 921, Pudahuel",2- 2708 27 42,-33.4391554786715,-70.7635611593902
Brigada de Investigación Criminal Talagante,"Av. Bernardo O'Higgins 451, Talagante",2- 2708 12 63,-33.6606755149646,-70.9209111619682
Brigada de Investigación Criminal Melipillla,"Silva Chavez 1139, Melipilla",2- 2708 34 28,-33.6944255204944,-71.2172411668234
Brigada de Investigación Criminal Peñaflor,"Vicuña Mackenna 1910, Peñaflor",2- 2708 34 48,-33.6108855068079,-70.8781411612675
Brigada de Investigación Criminal Buin,"Av. Bajos de Matte 02, Buin",2- 2708 32 51,-33.7021655217623,-70.7481211591373
Brigada de Investigación Criminal San Bernardo,"Eyzaguirre 737, San Bernardo",2- 2708 35 72,-33.5967555044919,-70.7070111584637
Brigada Investigadora de Delitos Sexuales Metropolitana,Williams Rebolledo 1799,2- 2708 20 52,-33.4721254840721,-70.6203111570432
Departamento de Migraciones y Policía Internacional Rancagua,"Florencio Durán 580, Rancagua",72 - 234 10 34,-34.1515155953842,-70.7395211589964
Brigada de Delitos Económicos Rancagua,"Florencio Durán 580, Rancagua",72 - 234 10 34,-34.1515155953842,-70.7395211589964
Brigada de Homicidios Rancagua,"Florencio Durán 580, Rancagua",72 - 234 10 34,-34.1515155953842,-70.7395211589964
Brigada de Delitos Sexuales Rancagua,"Florencio Durán 580, Rancagua",72 - 234 10 09,-34.1515155953842,-70.7395211589964
Brigada Investigadora de Robos Mostazal,"Camino Real N°120 (Ruta H-10), San Francisco de Mostazal",72- 234 10 87,-33.9855755681972,-70.7133211585671
Brigada Antinarcóticos y Contra el Crimen Organizado Rancagua,"Florencio Durán 580, Rancagua",72 - 234 10 34,-34.1515155953842,-70.7395211589964
Brigada de Investigación Criminal Rengo,"Av. Bisquertt, Rengo",72 - 234 11 91,-34.4058563705741,-70.8693711611239
Brigada de Investigación Criminal San Fernando,"Olegario Lazo 496, San Fernando",72 - 234 11 63,-34.5878566686777,-70.9927411631451
Departamento de Migraciones y Policía Internacional San Fernando,"Olegario Lazo 496, San Fernando",72 - 234 11 63,-34.5878566686777,-70.9927411631451
Brigada de Investigación Criminal Santa Cruz,"Calle Orlando Diaz Besoain N° 410, Santa Cruz",72 - 234 12 17,-34.6387435675211,-71.3675301169285
Brigada de Investigación Criminal Pichilemu,"Av. Anibal Pinto N°433, Pichilemu",72 - 234 12 17,-34.3881705634157,-72.0079741179778
Brigada de Investigación Criminal San Vicente de Tagua Tagua,"Avenida España 1260, San Vicente de Tagua Tagua",72 - 234 12 43,-34.4369756421539,-71.0818111646043
Brigada de Investigación Criminal Talca,"2 Sur 1628, Talca",71 - 253 03 09,-35.4292955804735,-71.6534501173970
Brigada Investigadora de Delitos Económicos Talca,"2 Sur 1628, Talca",71 - 253 02 29,-35.4292955804735,-71.6534501173970
Brigada de Homicidios Talca,"Calle 13 Sur N° 160, Talca",71 - 253 02 04,-35.4334005805408,-71.6802261174408
Brigada de Investigadora de Robos Talca,"2 Sur 1628, Talca",71 - 253 02 13,-35.4292955804735,-71.6534501173970
Brigada Investigadora de Delitos Sexuales Talca,"Calle 1 Poniente N° 927, Talca",71- 253 03 06,-35.4504245808197,-71.6752021174326
Departamento de Migraciones y Policía Internacional Talca,"3 Oriente 1282, Talca",71 - 253 02 90,-35.4259565804188,-71.6625511174119
Avanzada Paso Fronterizo Pehuenche,"Ruta Internacional CH-115, San Clemente",71 - 253 04 14,-35.5229845820085,-71.4868961171241
Brigada Antinarcóticos y Contra el Crimen Organizado Talca,"3 Oriente 1282, Talca",71 - 253 02 63,-35.4259565804188,-71.6625511174119
Brigada de Investigación Criminal Constitución,"O´Higgins N°575, Constitución",71 - 253 03 22,-35.3318295788766,-72.4119031186396
Sección de Migraciones y Policía Internacional Constitución,"O´Higgins N°575, Constitución",71 - 253 03 22,-35.3318295788766,-72.4119031186396
Brigada de Investigación Criminal Cauquenes,"Carrera N°298, Cauquenes",73 - 261 26 81,-35.9671285892854,-72.3154291184816
